lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber
121.54032110689094,31.2917389831796,1844,杨浦区,延吉新村街道,[],[],靖宇东路
121.45126733609756,31.190966616585367,2050,徐汇区,枫林路街道,东安三村(零陵路),[],斜土路
121.59601095027027,31.08285464972973,925,浦东新区,航头镇,[],[],鹤沙路
121.31528654391218,31.294824688622754,994,嘉定区,南翔镇,[],[],德华路
121.25887999669422,31.107118092561983,605,松江区,泗泾镇,[],[],古楼公路
121.69257601396276,31.189951348404254,1504,浦东新区,川沙新镇,[],[],城南路
121.44711100664452,31.313378532115173,1806,静安区,彭浦新村街道,星纪花苑,[],安泽路
121.81851221641791,30.896700313432834,268,浦东新区,泥城镇,[],[],泥城路
121.37969389388071,31.115288606506585,1291,闵行区,莘庄镇,水清一村,[],庙泾路
121.36884135433071,30.849553,127,金山区,亭林镇,[],[],奉朱公路
121.54190291922455,31.164941246634356,1857,浦东新区,北蔡镇,[],[],下南路
121.46548713874874,31.25895025504541,3979,静安区,芷江西路街道,芷江西路123弄小区,[],普善路
121.23991613764511,31.397461202321725,603,嘉定区,菊园新区,[],[],胜竹路
121.5577176524364,31.243441350150928,2318,浦东新区,洋泾街道,[],建平中学,崮山路
121.77308480265654,31.047791339658446,527,浦东新区,惠南镇,[],[],人民东路
120.99707529591836,31.08461886734694,98,青浦区,金泽镇,[],[],[]
121.39002785306705,31.054192646219686,701,闵行区,颛桥镇,[],[],中春路
121.68740915418502,31.2625077753304,681,浦东新区,曹路镇,[],[],龚路支路
121.48498293110647,31.382079936325677,955,宝山区,友谊路街道,[],[],水产路
121.43159756778425,31.128218244169098,1372,闵行区,梅陇镇,[],[],兴南路
121.31488988075881,31.464218929539296,369,嘉定区,华亭镇,[],[],新川沙西路
121.3222376266549,31.23470637687555,1112,嘉定区,江桥镇,[],[],华江路
121.34939137149355,31.258787392721757,1346,嘉定区,江桥镇,[],[],曹安公路
121.20690658888888,31.185332583333334,540,青浦区,华新镇,[],[],花卉四路
121.45745966202783,31.043786063618292,503,闵行区,吴泾镇,[],[],景东路
121.49172999142573,31.22001493000997,5017,黄浦区,老西门街道,[],[],净土街
121.43328841683169,31.37295932871287,1010,宝山区,杨行镇,[],[],宝杨路
121.62746973116438,31.31093639212329,584,浦东新区,高东镇,[],[],英伦路
121.11434526229507,30.893880860655738,122,金山区,朱泾镇,[],[],[]
121.22686945454545,31.780623545454546,11,崇明区,绿华镇,[],[],宝财路
121.30616873950618,31.026115059259258,810,松江区,车墩镇,[],[],车新公路
121.63831458064516,31.557267193548387,62,崇明区,堡镇,[],[],堡镇北路
121.15117102013423,31.030896704697987,298,松江区,小昆山镇,[],[],文翔路
121.15816825257733,31.282843226804125,194,昆山市,花桥镇,[],[],墨玉南路
121.49616598462089,31.165616005007152,2796,浦东新区,三林镇,[],川杨河,上南路
121.40979219687875,31.294357524609843,833,宝山区,大场镇,[],[],真华路
121.56083298263135,31.188039222318714,2303,浦东新区,北蔡镇,世外桃源花园别墅小区,[],莲溪路
121.62529900814901,31.19191445983702,859,浦东新区,张江镇,[],[],张江路
121.57459669106464,31.34193480608365,1052,浦东新区,高桥镇,潼港二村,[],清溪路
121.76421698611111,31.106349416666667,360,浦东新区,祝桥镇,[],[],百熙路
121.12582529501084,31.157851084598697,461,青浦区,夏阳街道,[],[],外青松公路
121.44140342249122,31.233786474814526,2562,静安区,江宁路街道,凤凰苑,[],昌平路
121.61622068836292,31.02554714990138,507,浦东新区,航头镇,[],[],沪南公路
121.37342015942029,31.337779582345192,759,宝山区,顾村镇,[],[],顾陈路
121.51538997363083,31.274617270182556,2465,杨浦区,四平路街道,[],卫百辛大厦,控江路
121.4231871938911,31.186069013944223,1506,徐汇区,田林街道,明园·小安桥,[],柳州路
121.49230412804879,30.902587006097562,164,奉贤区,南桥镇,[],[],望园南路
121.6130769745223,31.135440264331212,628,浦东新区,康桥镇,[],[],秀沿路
121.30937281891892,31.151593182432432,740,松江区,九里亭街道,[],[],涞坊路
121.29454350967742,30.943474832258065,155,松江区,叶榭镇,[],[],叶达公路
121.60098368002627,31.26758091195795,1522,浦东新区,浦兴路街道,金桥新村张桥居住区一街坊,[],东陆路
121.34338380492814,31.399971435318275,487,宝山区,罗店镇,[],[],联合村路
121.42317771567673,31.08979717234664,1027,闵行区,梅陇镇,[],[],金都路
121.58055325881217,31.266790464992756,2071,浦东新区,沪东新村街道,中星长岛苑,[],兰城路
121.9106588655914,30.9083216344086,186,浦东新区,南汇新城镇,[],[],花柏路
121.47761648576973,31.23649596679603,4638,黄浦区,南京东路街道,[],如鸿商务酒店,浙江中路
121.5226485657754,31.224962387165775,2805,浦东新区,潍坊新村街道,崂东小区,[],潍坊路
121.47388913942308,31.203748090214933,3507,黄浦区,打浦桥街道,南塘浜路93弄小区,南塘浜路93弄小区,南塘浜路
121.27721963801653,31.340606487603306,605,嘉定区,马陆镇,[],[],双丁路
121.82757233333334,31.496534642857142,42,崇明区,陈家镇,[],[],裕丰南路
121.4638021595092,31.336378341805435,1144,宝山区,淞南镇,[],[],联长路
121.2875010263158,30.76453620526316,190,金山区,金山卫镇,[],[],茸卫公路
121.50220861579892,31.307316756433273,1668,杨浦区,五角场街道,上海财经大学,[],政立路
121.3624643492218,31.169280788910505,1028,闵行区,虹桥镇,[],[],吴中路
121.68542219322033,31.109189210169493,295,浦东新区,川沙新镇,[],[],其新连路
121.43738329404832,31.26790897289334,1691,普陀区,甘泉路街道,新沪馨苑,[],新村路
121.54238778281912,31.27052793829401,1653,杨浦区,定海路街道,珠江香樟南园,[],河间路
121.81382721052631,31.335504052631578,57,崇明区,横沙乡,[],[],新盟路
121.72523947811993,31.235091504051862,617,浦东新区,合庆镇,[],[],环庆中路
121.5748638349661,31.11560886510927,1327,浦东新区,周浦镇,[],[],陵园路
121.51003058847736,31.134439502057614,2187,浦东新区,三林镇,[],[],永泰路
121.39459583406114,31.242177140611354,1132,普陀区,长征镇,[],[],中江路
121.41897035833334,30.793866966666666,240,金山区,漕泾镇,[],[],共建路
121.2021388132184,31.34250639367816,348,嘉定区,菊园新区,[],[],嘉安公路
121.71252975,31.384157597222224,72,崇明区,长兴镇,[],[],金渺路
121.51914515623507,31.19184065647396,2093,浦东新区,南码头路街道,[],[],东方路
121.84428561883408,30.99632871748879,223,浦东新区,书院镇,[],[],书和路
121.45203323809524,31.651260095238094,21,崇明区,建设镇,[],[],建设公路
121.74429919886364,31.161774645833333,528,浦东新区,川沙新镇,[],[],红星路
121.66160874017093,31.281901053846155,1170,浦东新区,曹路镇,[],[],华东路
121.52217799410899,31.05473603976436,679,闵行区,浦江镇,[],[],三鲁公路
121.40540666939444,31.00767914893617,611,闵行区,江川路街道,[],[],鹤庆路
121.58688353333334,30.946967721212122,165,奉贤区,青村镇,[],[],航吴路
121.28283309051254,31.190089735005454,914,青浦区,徐泾镇,[],[],蟠文路
121.48920494405967,31.207371272775706,3781,黄浦区,半淞园路街道,[],[],保屯路
121.66167005967742,31.23709155,620,浦东新区,唐镇,[],[],上丰路
121.36284295833333,31.731512916666667,24,崇明区,庙镇,[],[],合作公路
121.46350533241205,31.218307622110554,3987,黄浦区,瑞金二路街道,[],[],淮海中路
121.2273644686775,31.250653605568445,431,青浦区,华新镇,[],[],新凤北路
121.65352598735956,31.204746608146067,712,浦东新区,唐镇,[],[],唐安路
121.23969431418313,31.024049217235188,557,松江区,方松街道,[],[],沪松路
121.46799943361582,31.113842590395482,708,浦东新区,三林镇,[],黄浦江,龙吴路
121.72495698557692,31.05033394471154,416,浦东新区,宣桥镇,上海野生动物园,[],人民西路
121.32891082078473,31.109837016967127,943,松江区,九亭镇,[],[],中心路
121.44342600573394,31.16287238646789,1744,徐汇区,漕河泾街道,[],[],南宁路
121.40505503541824,31.149936934438582,1327,闵行区,古美街道,蔚蓝城市花园,[],古龙路
121.53055011339359,31.325981167625308,1221,杨浦区,殷行街道,开鲁四村,[],开鲁路
121.4039870557377,31.424230014754098,610,宝山区,月浦镇,[],[],川巷路
121.57252368801898,31.15352558956109,843,浦东新区,康桥镇,和合新村(康桥镇和合居委人口和家庭计划指导室南),[],京浦路
121.75164053020134,30.970889926174497,149,浦东新区,大团镇,[],[],永爱路
